"codigo","descripcion","cuadro"
"I26.9","Embolia pulmonar sin mención de cor pulmonale agudo","CC-01"
"I21.9","Infarto agudo de miocardio, sin otra especificación","CC-02"
"I63.9","Infarto cerebral, no especificado","CC-03"
"A41.9","Sepsis, no especificada","CC-04"
"J93.0","Neumotórax espontáneo a tensión","CC-05"
"K92.2","Hemorragia gastrointestinal, no especificada","CC-06"
"E87.5","Hiperpotasemia","CC-07"
"K35.2","Apendicitis aguda con peritonitis generalizada","CC-08"
"R91","Hallazgos anormales en diagnóstico por imagen del pulmón","CC-09"
"D50.9","Anemia por deficiencia de hierro sin otra especificación","CC-10"
"E11.9","Diabetes mellitus no insulinodependiente, sin mención de complicación","CC-11"
"S52.5","Fractura de la epífisis inferior del radio","CC-12"
"I10","Hipertensión esencial (primaria)","CC-13"
"N30.0","Cistitis aguda","CC-14"
"M54.5","Lumbago no especificado","CC-15"
"E03.9","Hipotiroidismo, no especificado","CC-16"
"Z34.9","Supervisión de embarazo normal, no especificado","CC-17"
"J03.9","Amigdalitis aguda, no especificada","CC-18"
"K21.0","Enfermedad por reflujo gastroesofágico con esofagitis","CC-19"
"E78.5","Hiperlipidemia no especificada","CC-20"
"M06.9","Artritis reumatoide, no especificada","CC-21"
"J18.9","Neumonía, no especificada","CC-22"
