"codigo","descripcion","cuadro","fuente","fecha_consulta","nota"
"I26.9","Embolia pulmonar sin mención de corazón pulmonar agudo","CC-01","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"I21.9","Infarto agudo del miocardio, sin otra especificación","CC-02","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"I63.9","Infarto cerebral, no especificado","CC-03","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"A41.9","Septicemia, no especificada","CC-04","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25","La edición 2018 de la OPS actualiza el término a Sepsis; la lista tabular de la 554 dice Septicemia"
"J93.0","Neumotórax espontáneo a presión","CC-05","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25","En la práctica clínica se lo llama neumotórax a tensión; el término oficial es a presión"
"K92.2","Hemorragia gastrointestinal, no especificada","CC-06","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"E87.5","Hiperpotasemia","CC-07","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"K35.0","Apendicitis aguda con peritonitis generalizada","CC-08","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25","Corregido el 25/9: teníamos K35.2, que no existe en la CIE-10 de la OMS en español. K35.2 aparece en revisiones posteriores y en la CIE-10-CM estadounidense"
"R91","Hallazgos anormales en diagnóstico por imagen del pulmón","CC-09","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"D50.9","Anemia por deficiencia de hierro sin otra especificación","CC-10","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"E11.9","Diabetes mellitus no insulinodependiente, sin mención de complicación","CC-11","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25","E11 más la subdivisión de cuarto carácter .9 Sin mención de complicación"
"S52.5","Fractura de la epífisis inferior del radio","CC-12","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"I10","Hipertensión esencial (primaria)","CC-13","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"N30.0","Cistitis aguda","CC-14","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"M54.5","Lumbago no especificado","CC-15","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"E03.9","Hipotiroidismo, no especificado","CC-16","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"Z34.9","Supervisión de embarazo normal no especificado","CC-17","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"J03.9","Amigdalitis aguda, no especificada","CC-18","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"K21.0","Enfermedad del reflujo gastroesofágico con esofagitis","CC-19","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"E78.5","Hiperlipidemia no especificada","CC-20","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"M06.9","Artritis reumatoide, no especificada","CC-21","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
"J18.9","Neumonía, no especificada","CC-22","OPS/OMS, CIE-10 Volumen 1, lista tabular, Publicación Científica 554","2026-09-25",""
